support,itemsets,occurrences
0.11666666666666667,"frozenset({'Soda', 'Cookies', 'Chips'})",350
0.10766666666666666,"frozenset({'Bread', 'Milk'})",323
0.1,"frozenset({'Cheese', 'Eggs', 'Butter'})",300
0.094,"frozenset({'Apples', 'Yogurt', 'Bananas'})",282
0.09333333333333334,"frozenset({'Rice', 'Chicken'})",280
0.083,frozenset({'Onions'}),249
0.07566666666666666,frozenset({'Juice'}),227
0.07233333333333333,frozenset({'Fish'}),217
0.07166666666666667,frozenset({'Pasta'}),215
0.07133333333333333,frozenset({'Tomatoes'}),214
0.071,frozenset({'Cereal'}),213
0.07033333333333333,frozenset({'Tea'}),211
0.06933333333333333,frozenset({'Beef'}),208
0.069,frozenset({'Ice Cream'}),207
0.06866666666666667,frozenset({'chips'}),206
0.068,frozenset({'Pepper'}),204
0.06766666666666667,frozenset({'Oil'}),203
0.06733333333333333,frozenset({'Potatoes'}),202
0.06666666666666667,frozenset({'Coffee'}),200
0.06633333333333333,frozenset({'Sugar'}),199
0.06566666666666666,frozenset({'Carrots'}),197
0.06433333333333334,frozenset({'Flour'}),193
0.06133333333333333,frozenset({'Salt'}),184
